index,year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,,,,
65,2019,Toyota,https://superbowl-ads.com/2019-toyota-supra-wizard/,https://www.youtube.com/watch?v=ZuBbnZ3UbJw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,TOYOTA SUPRA CAN NAVIGATE A PINBALL OBSTACLE COURSE,,,,
66,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,https://www.youtube.com/watch?v=mhEYXcCB1Qw,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,423,9,97.92%,BUD GETS PEOPLE TALKING AND TO THE BAR,,,,
67,2014,Coca-Cola,https://superbowl-ads.com/2014-coca-going-all-the-way/,https://www.youtube.com/watch?v=nO-8ZY7p95o,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,5,77.27%,COKE HELPS SEND US ALL THE WAY,,,,
68,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-referee/,https://www.youtube.com/watch?v=uO-E2T1hayU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,BUD HELPS US GET THROUGH LIFE'S STRUGGLES,,,,
69,2016,Coca-Cola,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,https://www.youtube.com/watch?v=sMkGwCw7iv8,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,260000,8100,96.98%,COKE HAS SUPERHEROES FIGHTING EACH OTHER TO DRINK IT,,,,
70,2015,Budweiser,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,https://www.youtube.com/watch?v=5tso0er4EUI,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,23,4,85.19%,BUD HORSE FORCES US TO BUY BUD BECAUSE ITS GOOD FOR US,,,,
71,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,https://www.youtube.com/watch?v=KwUUdl22mkA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3000,51,98.33%,HYUNDAI HAS CAR TRACKING TO FOLLOW THE CAR AND FIND IT,,,,
72,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,389,12,97.01%,BUD LIGHT IS MORE ATTRACTIVE TO WORKER THAN SEX,,,,
73,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-strongman/,https://www.youtube.com/watch?v=_cEQ5g6bzdM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,55,3,94.83%,"BUD LIGHT IS SO ATTRACTIVE, THE OLD AND WEAK CAN FIGHT TO GET IT",,,,
74,2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,0,100.00%,PEOPLE WOULD RATHER STEAL BUD THAN HELP SOMEONE IN ELEVATOR,,,,
75,2018,Coca-Cola,https://superbowl-ads.com/2018-coca-cola-super-bowl-ad-wonder-us/,https://www.youtube.com/watch?v=ucCvhK2CZMo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,THERES A UNIQUE COKE FOR EVERY SINGLE PERSON ON EARTH,,,,
76,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-subway-miracle/,https://www.youtube.com/watch?v=1nmPv4M8Ps8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,4,60.00%,PEPSI SENDS US ON OUR DREAM VACATION,,,,
77,2014,Doritos,https://superbowl-ads.com/2014-doritos-cowboy-kid/,https://www.youtube.com/watch?v=1X_M47SQF6s,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,47,5,90.38%,DORITOS HAVE US HELP MOM GET GROCERIES SO WE CAN GET DORITOS,,,,
78,2016,Budweiser,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/,https://www.youtube.com/watch?v=Le_2S2db0Bk,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,"BUD SHOULD BE ENJOYED RESPONSIBLY, NO DRINKING AND DRIVING",,,,
79,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-donkey/,https://www.youtube.com/watch?v=pmmsr7PAhWU,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3800,110,97.19%,"BUD DONKEY WANTS TO DRIVE BUDWEISER SO MUCH, HE BECOMES HORSE",,,,
80,2015,Budweiser,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/,https://www.youtube.com/watch?v=7_EfXuGev24,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,BUD IS NOT A CRAFT BEER. BUD IS THE ONLY BEER BEER,,,,
81,2016,Kia,https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/,https://www.youtube.com/watch?v=rBkPXt-OpA4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,145,3,97.97%,KIA SETS US APART FROM A BEIGE WORLD,,,,
82,2017,Budweiser,https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/,https://www.youtube.com/watch?v=HtBZvl7dIu4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,48000,17000,73.85%,IMMIGRANTS STRUGGLED AND CAME HERE TO BREW BUDWEISER,,,,
83,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-talking-dog/,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,"TALKING DOG GIVES HIS FAVORITE OWNER THE BEST BEER, BUDWEISER",,,,
84,2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-heist/,https://www.youtube.com/watch?v=icV7fGqPZ2I,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1900,332,85.13%,"COKE IS SO GOOD, ALL THE BUGS TEAM UP TO STEAL IT AND DRINK IT",,,,
85,2015,Doritos,https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/,https://www.youtube.com/watch?v=YQo0TfuueaY,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2300,166,93.27%,"KID WANTS DORITO, SO HE MAKES A FLYING PIG",,,,
86,2004,Toyota,https://superbowl-ads.com/2004-toyota-revenge/,https://www.youtube.com/watch?v=5uLJitPWAXM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1100,16,98.57%,TOYOTA TACOMA SURVIVES A FALL FROM A CLIFF FACE BECAUSE ITS TOUGH,,,,
87,2016,NFL,https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/,https://www.youtube.com/watch?v=9KqekigARfE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,21000,2000,91.30%,SUPERBOWL HELPS OUR FAMILIES GROW WITH SUPERBOWL BABIES,,,,
88,2017,Hynudai,https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/,https://www.youtube.com/watch?v=KpN6fxOorwE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,HYUNDAI SPONSORED MILITARY MEMBERS WATCHING THE SUPERBOWL WITH FAMILY,,,,
